 

stn;time;gre000z0;tre200s0;sre000z0
STG;202406181030;938;27.0;10
STG;202406181040;956;27.0;10
STG;202406181050;958;27.8;10
STG;202406181100;765;26.9;10
STG;202406181110;798;27.1;10
STG;202406181120;818;27.5;10
STG;202406181130;628;27.3;8
STG;202406181140;940;28.1;10
STG;202406181150;987;27.8;10
STG;202406181200;920;27.9;10
STG;202406181210;947;28.2;10
STG;202406181220;965;28.6;10
STG;202406181230;854;28.4;10
STG;202406181240;889;28.0;10
STG;202406181250;879;28.3;10
STG;202406181300;735;28.2;10
STG;202406181310;576;27.6;8
STG;202406181320;519;27.0;4
STG;202406181330;807;27.4;10
STG;202406181340;650;27.8;10
STG;202406181350;783;28.1;10
STG;202406181400;665;27.7;10
STG;202406181410;487;27.6;7
STG;202406181420;485;27.8;8
STG;202406181430;537;27.4;10
STG;202406181440;564;27.7;10
STG;202406181450;584;27.8;10
STG;202406181500;612;27.8;10
STG;202406181510;590;27.4;10
STG;202406181520;614;27.9;10
STG;202406181530;588;27.9;10
STG;202406181540;535;27.9;10
STG;202406181550;548;27.8;10
STG;202406181600;522;27.9;10
STG;202406181610;477;27.6;10
STG;202406181620;435;27.5;10
STG;202406181630;408;27.4;10
STG;202406181640;388;27.5;10
STG;202406181650;329;27.5;10
STG;202406181700;271;26.8;9
STG;202406181710;277;27.1;9
STG;202406181720;192;26.6;5
STG;202406181730;144;26.5;1
STG;202406181740;131;25.6;1
STG;202406181750;90;24.5;0
STG;202406181800;76;25.5;0
STG;202406181810;64;25.0;0
STG;202406181820;40;24.0;0
STG;202406181830;24;24.1;0
STG;202406181840;25;23.5;0
STG;202406181850;26;24.1;0
STG;202406181900;12;24.1;0
STG;202406181910;6;24.0;0
STG;202406181920;2;23.7;0
STG;202406181930;0;23.6;0
STG;202406181940;0;23.7;0
STG;202406181950;0;23.7;0
STG;202406182000;0;23.7;0
STG;202406182010;0;23.2;0
STG;202406182020;0;23.1;0
STG;202406182030;0;22.5;0
STG;202406182040;0;23.1;0
